chrom	start	end	name	score	strand	thickStart	thickEnd	itemRgb	exonCount	exonSizes	exonOffsets	circType	geneName	isoformName	index	flankIntron	short_uniq_identifier	long_uniq_identifier	readNumber_HCT116_Illumina_TruSeq_R1	readNumber_HCT116_New_England_R1	rescued	exist_in_short_read	rescue_status
chr10	112527086	112538330	.	0	+	112527086	112527086	0,0,0	2	78,85	0,11159	circRNA	chr10|112527086|112538330|2|78,85|0,11159	chr10|112527086|112538330|2|78,85|0,11159	1,2	None|None	chr10|112527086|112538330|+|2|78,85|0,11159	chr10|112527086|112538330|2|78,85|0,11159	NA	2	TRUE	FALSE	rescued
chr15	44497026	44503850	.	0	+	44497026	44497026	0,0,0	2	43,297	0,6527	circRNA	chr15|44497026|44503850|2|43,297|0,6527	chr15|44497026|44503850|2|43,297|0,6527	1,2	None|None	chr15|44497026|44503850|+|2|43,297|0,6527	chr15|44497026|44503850|2|43,297|0,6527	NA	1	TRUE	FALSE	rescued
chr15	49137149	49139653	.	0	-	49137149	49137149	0,0,0	2	44,126	0,2378	circRNA	chr15|49137149|49139653|2|44,126|0,2378	chr15|49137149|49139653|2|44,126|0,2378	2,1	None|None	chr15|49137149|49139653|-|2|44,126|0,2378	chr15|49137149|49139653|2|44,126|0,2378	NA	1	TRUE	FALSE	rescued
chr16	68121986	68123121	.	0	+	68121986	68121986	0,0,0	2	34,312	0,823	circRNA	chr16|68121986|68123121|2|34,312|0,823	chr16|68121986|68123121|2|34,312|0,823	1,2	None|None	chr16|68121986|68123121|+|2|34,312|0,823	chr16|68121986|68123121|2|34,312|0,823	16	26	TRUE	FALSE	rescued
chr17	82763964	82768566	.	0	+	82763964	82763964	0,0,0	2	98,133	0,4469	circRNA	chr17|82763964|82768566|2|98,133|0,4469	chr17|82763964|82768566|2|98,133|0,4469	1,2	None|None	chr17|82763964|82768566|+|2|98,133|0,4469	chr17|82763964|82768566|2|98,133|0,4469	1	1	TRUE	FALSE	rescued
chr18	49929511	49937397	.	0	-	49929511	49929511	0,0,0	3	87,90,106	0,6740,7780	circRNA	chr18|49929511|49937397|3|87,90,106|0,6740,7780	chr18|49929511|49937397|3|87,90,106|0,6740,7780	3,2,1	None|None	chr18|49929511|49937397|-|3|87,90,106|0,6740,7780	chr18|49929511|49937397|3|87,90,106|0,6740,7780	4	3	TRUE	FALSE	rescued
chr2	71355718	71370005	.	0	+	71355718	71355718	0,0,0	2	62,96	0,14191	circRNA	chr2|71355718|71370005|2|62,96|0,14191	chr2|71355718|71370005|2|62,96|0,14191	1,2	None|None	chr2|71355718|71370005|+|2|62,96|0,14191	chr2|71355718|71370005|2|62,96|0,14191	1	4	TRUE	FALSE	rescued
chr20	2986764	2988474	.	0	+	2986764	2986764	0,0,0	2	41,124	0,1586	circRNA	chr20|2986764|2988474|2|41,124|0,1586	chr20|2986764|2988474|2|41,124|0,1586	1,2	None|None	chr20|2986764|2988474|+|2|41,124|0,1586	chr20|2986764|2988474|2|41,124|0,1586	1	NA	TRUE	FALSE	rescued
chr22	21805849	21807846	.	0	-	21805849	21805849	0,0,0	2	99,35	0,1962	circRNA	chr22|21805849|21807846|2|99,35|0,1962	chr22|21805849|21807846|2|99,35|0,1962	2,1	None|None	chr22|21805849|21807846|-|2|99,35|0,1962	chr22|21805849|21807846|2|99,35|0,1962	6	4	TRUE	FALSE	rescued
chr22	24338385	24347176	.	0	+	24338385	24338385	0,0,0	2	92,91	0,8700	circRNA	chr22|24338385|24347176|2|92,91|0,8700	chr22|24338385|24347176|2|92,91|0,8700	1,2	None|None	chr22|24338385|24347176|+|2|92,91|0,8700	chr22|24338385|24347176|2|92,91|0,8700	NA	2	TRUE	TRUE	exist_in_short_read
chr3	129880308	129880559	.	0	-	129880308	129880308	0,0,0	1	251	0	circRNA	chr3|129880308|129880559|1|251|0	chr3|129880308|129880559|1|251|0	1	None|None	chr3|129880308|129880559|-|1|251|0	chr3|129880308|129880559|1|251|0	2	3	TRUE	TRUE	exist_in_short_read
chr3	170145422	170178938	.	0	-	170145422	170145422	0,0,0	3	99,55,127	0,3663,33389	circRNA	chr3|170145422|170178938|3|99,55,127|0,3663,33389	chr3|170145422|170178938|3|99,55,127|0,3663,33389	3,2,1	None|None	chr3|170145422|170178938|-|3|99,55,127|0,3663,33389	chr3|170145422|170178938|3|99,55,127|0,3663,33389	1	NA	TRUE	FALSE	rescued
chr3	197015364	197016369	.	0	-	197015364	197015364	0,0,0	2	152,181	0,824	circRNA	chr3|197015364|197016369|2|152,181|0,824	chr3|197015364|197016369|2|152,181|0,824	2,1	None|None	chr3|197015364|197016369|-|2|152,181|0,824	chr3|197015364|197016369|2|152,181|0,824	1	NA	TRUE	TRUE	exist_in_short_read
chr3	197081050	197119530	.	0	-	197081050	197081050	0,0,0	2	67,83	0,38397	circRNA	chr3|197081050|197119530|2|67,83|0,38397	chr3|197081050|197119530|2|67,83|0,38397	2,1	None|None	chr3|197081050|197119530|-|2|67,83|0,38397	chr3|197081050|197119530|2|67,83|0,38397	5	4	TRUE	FALSE	rescued
chr3	197865422	197871462	.	0	+	197865422	197865422	0,0,0	3	49,32,78	0,689,5962	circRNA	chr3|197865422|197875775|4|49,32,78,78|0,689,5962,10275	chr3|197865422|197875775|4|49,32,78,78|0,689,5962,10275	1,2,3	None|chr3:197871462-197875697	chr3|197865422|197871462|+|3|49,32,78|0,689,5962	chr3|197865422|197871462|3|49,32,78|0,689,5962	NA	1	FALSE	FALSE	new
chr3	197865422	197875775	.	0	+	197865422	197865422	0,0,0	4	49,32,78,78	0,689,5962,10275	circRNA	chr3|197865422|197875775|4|49,32,78,78|0,689,5962,10275	chr3|197865422|197875775|4|49,32,78,78|0,689,5962,10275	1,2,3,4	None|None	chr3|197865422|197875775|+|4|49,32,78,78|0,689,5962,10275	chr3|197865422|197875775|4|49,32,78,78|0,689,5962,10275	9	5	TRUE	FALSE	rescued
chr4	87046165	87047594	.	0	+	87046165	87046165	0,0,0	2	86,17	0,1412	circRNA	chr4|87046165|87047594|2|86,17|0,1412	chr4|87046165|87047594|2|86,17|0,1412	1,2	None|None	chr4|87046165|87047594|+|2|86,17|0,1412	chr4|87046165|87047594|2|86,17|0,1412	8	12	TRUE	FALSE	rescued
chr6	7181123	7189322	.	0	+	7181123	7181123	0,0,0	2	123,29	0,8170	circRNA	chr6|7181123|7189322|2|123,29|0,8170	chr6|7181123|7189322|2|123,29|0,8170	1,2	None|None	chr6|7181123|7189322|+|2|123,29|0,8170	chr6|7181123|7189322|2|123,29|0,8170	2	4	TRUE	FALSE	rescued
chr9	93471140	93516269	.	0	+	93471140	93471140	0,0,0	3	247,60,62	0,5115,45067	circRNA	chr9|93471140|93516269|3|247,60,62|0,5115,45067	chr9|93471140|93516269|3|247,60,62|0,5115,45067	1,2,3	None|None	chr9|93471140|93516269|+|3|247,60,62|0,5115,45067	chr9|93471140|93516269|3|247,60,62|0,5115,45067	1	NA	TRUE	FALSE	rescued
