chrom	start	end	name	score	strand	thickStart	thickEnd	itemRgb	exonCount	exonSizes	exonOffsets	exist_in_short_read	first_pass_rescued	second_pass_high_conf_chimeric_support_isocirc	second_pass_high_conf_chimeric_support_ciri_long	second_pass_low_conf_chimeric_support_isocirc	second_pass_low_conf_chimeric_support_ciri_long	final_rescue_status
chr19	3979328	3979855	chr19|3979328|3979855|2|108,48|0,479	0	-	0	0	0	2	108,48	0,479	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr19	40623635	40623983	chr19|40623635|40623983|2|97,48|0,300	0	+	0	0	0	2	97,48	0,300	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr19	5255964	5256061	chr19|5255964|5256061|1|97|0	0	-	5255964	5255964	0,0,0	1	97	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr19	6420072	6420471	chr19|6420072|6420471|2|72,50|0,349	0	-	0	0	0	2	72,50	0,349	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr2	130364171	130364410	chr2|130364171|130364410|2|70,36|0,203	0	+	0	0	0	2	70,36	0,203	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr2	130364171	130364410	chr2|130364171|130364410|2|70,46|0,193	0	+	0	0	0	2	70,46	0,193	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr2	130364171	130364410	chr2|130364171|130364410|2|70,63|0,176	0	+	0	0	0	2	70,63	0,176	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr2	164521979	164539897	chr2|164521979|164539897|4|138,75,52,37|0,3024,5034,17881	0	-	0	0	0	4	138,75,52,37	0,3024,5034,17881	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr2	168019271	168019386	chr2|168019271|168019386|1|115|0	0	.	168019271	168019271	0,0,0	1	115	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr2	203366876	203367044	chr2|203366876|203367044|1|168|0	0	+	0	0	0	1	168	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr2	214950938	214951054	chr2|214950938|214951054|1|116|0	0	+	214950938	214950938	0,0,0	1	116	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr2	220740283	220740379	chr2|220740283|220740379|1|96|0	0	+	0	0	0	1	96	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr2	223756685	223756809	chr2|223756685|223756809|1|124|0	0	-	223756685	223756685	0,0,0	1	124	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr2	231711910	231712516	chr2|231711910|231712516|2|73,74|0,532	0	+	0	0	0	2	73,74	0,532	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr2	238713610	238713680	chr2|238713610|238713680|1|70|0	0	.	238713610	238713610	0,0,0	1	70	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr2	240465472	240465648	chr2|240465472|240465648|1|176|0	0	+	0	0	0	1	176	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr2	71355718	71370005	chr2|71355718|71370005|2|62,96|0,14191	0	+	0	0	0	2	62,96	0,14191	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr20	24972990	24973078	chr20|24972990|24973078|1|88|0	0	.	24972990	24972990	0,0,0	1	88	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr20	2986764	2988474	chr20|2986764|2988474|2|41,124|0,1586	0	+	0	0	0	2	41,124	0,1586	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr22	21805849	21807846	chr22|21805849|21807846|2|99,35|0,1962	0	-	0	0	0	2	99,35	0,1962	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr22	24338385	24347176	chr22|24338385|24347176|2|92,91|0,8700	0	+	0	0	0	2	92,91	0,8700	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	exist_in_short_read
chr22	24359263	24359480	chr22|24359263|24359480|1|217|0	0	-	0	0	0	1	217	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr22	37773872	37774012	chr22|37773872|37774012|1|140|0	0	-	37773872	37773872	0,0,0	1	140	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr22	38491884	38492002	chr22|38491884|38492002|1|118|0	0	-	38491884	38491884	0,0,0	1	118	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr3	11590588	11590751	chr3|11590588|11590751|1|163|0	0	-	11590588	11590588	0,0,0	1	163	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr3	12915608	12920451	chr3|12915608|12920451|2|125,22|0,4821	0	-	0	0	0	2	125,22	0,4821	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr3	129880308	129880559	chr3|129880308|129880559|1|251|0	0	-	0	0	0	1	251	0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	exist_in_short_read
chr3	138734633	138734804	chr3|138734633|138734804|1|171|0	0	-	0	0	0	1	171	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr3	170145422	170178938	chr3|170145422|170178938|3|99,55,127|0,3663,33389	0	-	0	0	0	3	99,55,127	0,3663,33389	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr3	188879894	188880125	chr3|188879894|188880125|1|231|0	0	+	0	0	0	1	231	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr3	197015364	197016369	chr3|197015364|197016369|2|152,181|0,824	0	-	0	0	0	2	152,181	0,824	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	exist_in_short_read
chr3	197081050	197119530	chr3|197081050|197119530|2|67,83|0,38397	0	-	0	0	0	2	67,83	0,38397	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr3	197865422	197875775	chr3|197865422|197875775|4|49,32,78,78|0,689,5962,10275	0	+	0	0	0	4	49,32,78,78	0,689,5962,10275	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr3	45083952	45084090	chr3|45083952|45084090|1|138|0	0	+	45083952	45083952	0,0,0	1	138	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr3	45084794	45084947	chr3|45084794|45084947|1|153|0	0	-	45084794	45084794	0,0,0	1	153	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr3	47867245	47869327	chr3|47867245|47869327|2|93,114|0,1968	0	-	0	0	0	2	93,114	0,1968	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
