name	chrom	chromStart	chromEnd	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	gene_name	readCount_sample_name	isoformPSI_sample_name	CIRI_long_coords	read_id
chr3|45084794|45084947|1|153|0	chr3	45084794	45084947	0	-	45084794	45084794	0,0,0	1	153	0	ENSG00000163814,Q9H5V8,CDCP1	2	2	chr3:45084795-45084947	dea9bc9d-4871-4021-8c0c-7b83d0b63f0a,962731e5-c512-4622-b1ab-e507c4af6500
chr11|59649570|59651615|3|40,60,72|0,1183,1973	chr11	59649570	59651615	0	-	59649570	59649570	0,0,0	3	40,60,72	0,1183,1973	ENSG00000166889,Q86TB9,PATL1	2	2	chr11:59649571-59651615	8020815a-71db-4673-80d1-2f4180f71490,8849d775-aedc-4df5-ba8f-22d9d3065b71
chr12|56110558|56110692|1|134|0	chr12	56110558	56110692	0	+	56110558	56110558	0,0,0	1	134	0	ENSG00000170515,F8VR77,Q9UQ80,ENST00000552528.1,ENST00000552266.1,PA2G4	2	2	chr12:56110559-56110692	c915a535-25eb-427d-9ca7-0b438076323d,eb62c6bb-6d5b-4247-8c25-eb9f50df373b
chr19|39384044|39384107|1|63|0	chr19	39384044	39384107	0	-	39384044	39384044	0,0,0	1	63	0	ENSG00000179134,M0QZ22,Q5PRF9,A0A087WZT0,SAMD4B	2	2	chr19:39384045-39384107	d5bce1c1-3d34-4ef7-b916-d2ea8abb3a53,6d4a6b2c-3b15-48fb-ae43-f06e4ebbda7d
chr7|98212656|98212860|1|204|0	chr7	98212656	98212860	0	-	98212656	98212656	0,0,0	1	204	0	ENSG00000180535,Q7RTS1,BHLHA15	2	2	chr7:98212657-98212860	0f0997b7-75c1-4687-8bec-d633ed392564,e4354db5-32f9-42ba-92af-3061a2fdc847
chr13|21375335|21375509|1|174|0	chr13	21375335	21375509	0	-	21375335	21375335	0,0,0	1	174	0	ENSG00000180776,Q5W0Z9,B4DRN8,A0A0D9SEN4,ZDHHC20	2	2	chr13:21375336-21375509	fc33d4b0-3992-4043-afa6-9be2e1cadd66,dcf4dc0d-e330-4d3b-884f-035948ea28ad
chr16|9105767|9105869|1|102|0	chr16	9105767	9105869	0	+	9105767	9105767	0,0,0	1	102	0	ENSG00000182831,ENSG00000263244,A0A087X1J2,ENST00000574616.2	2	2	chr16:9105768-9105869	1e33e141-9a2f-4422-94b8-87c585a3873c,f56674c4-4233-47c5-b921-a12f07013bd5
chr12|132126393|132126513|1|120|0	chr12	132126393	132126513	0	+	132126393	132126393	0,0,0	1	120	0	ENSG00000185684,ENST00000475841.2	2	2	chr12:132126394-132126513	4e538d59-1e4f-45a6-b455-926849b11450,2d35d32a-a8e8-4eb9-9671-016ceaf85de0
chr12|64080295|64091372|3|75,28,97|0,6703,10980	chr12	64080295	64091372	0	+	64080295	64080295	0,0,0	3	75,28,97	0,6703,10980	ENSG00000196935,Q7Z6B7,G5EA48,ENST00000537556.1,SRGAP1	2	2	chr12:64080296-64091372	235f5655-4a2b-432c-b878-e488520402a4,47440c5f-cea3-4d57-986f-1caed66612a0
chrM|14620|14687|1|67|0	chrM	14620	14687	0	-	14620	14620	0,0,0	1	67	0	ENSG00000198695,ENSG00000210194,U5Z977,ENST00000387459.1,TRNE,ND6	2	2	chrM:14621-14687	e71bd63c-6718-4369-855f-fb2a7046813e,ad9edb8b-da4e-4b6b-b2a4-c4ab6fc98b24
chrM|14225|14309|1|84|0	chrM	14225	14309	0	-	14225	14225	0,0,0	1	84	0	ENSG00000198695,U5Z977,ND6	2	2	chrM:14226-14309	4538e9c6-45bc-44c8-8981-14a0faf0d065,c6852875-6d15-47f0-bd4d-cc2926f26686
chrM|7754|7911|1|157|0	chrM	7754	7911	0	+	7754	7754	0,0,0	1	157	0	ENSG00000198712,U5Z487,COX2	2	2	chrM:7755-7911	8a4d2b78-5e7e-4968-9ee0-f021f9e29ca9,8a30cdf5-aa75-4823-86d6-79f59f89f481
chrM|15354|15438|1|84|0	chrM	15354	15438	0	-	15354	15354	0,0,0	1	84	0	ENSG00000198727,Q0ZFD6,CYTB	2	2	chrM:15355-15438	8c620e0d-064f-4126-a26a-d9d4064bffd8,6138858c-48c5-4fbc-82ba-905b9f14a50b
chrM|4577|4770|1|193|0	chrM	4577	4770	0	-	4577	4577	0,0,0	1	193	0	ENSG00000198763,Q7GXY9,ND2	2	2	chrM:4578-4770	1b822660-b35b-400b-b5a7-318bebbbbf66,23bd76bb-33de-47f9-bb05-cd3cddd38c2c
chrM|4936|5027|1|91|0	chrM	4936	5027	0	+	4936	4936	0,0,0	1	91	0	ENSG00000198763,Q7GXY9,ND2	2	2	chrM:4937-5027	2b0af4ba-fd0e-444f-be89-946a08df2fa6,a30fe576-780c-42aa-ba1e-aa5edf318f2c
chrM|12554|12686|1|132|0	chrM	12554	12686	0	-	12554	12554	0,0,0	1	132	0	ENSG00000198786,U5ZC31,ND5	2	2	chrM:12555-12686	84eb159d-2e05-4ae9-a2d4-5c1def0ff0a2,04acfeaf-a9d9-47e9-8d06-b7e559ee5570
chrM|13835|13919|1|84|0	chrM	13835	13919	0	-	13835	13835	0,0,0	1	84	0	ENSG00000198786,U5ZC31,ND5	2	2	chrM:13836-13919	0c3459cb-60a9-4440-8ced-69b1914c0264,dd674ad1-ac86-4cd2-9411-3ca30bf1978c
chrM|3406|3570|1|164|0	chrM	3406	3570	0	-	3406	3406	0,0,0	1	164	0	ENSG00000198888,U5Z754,ND1	2	2	chrM:3407-3570	37f1cce1-ce61-4dcc-b00f-6bf387375f18,c4137b0c-a955-4c22-aeca-ae719e5d9629
chrM|4167|4238|1|71|0	chrM	4167	4238	0	-	4167	4167	0,0,0	1	71	0	ENSG00000198888,U5Z754,ND1	2	2	chrM:4168-4238	1b1c15e3-d224-4fac-bb94-b2dc9d7e60a0,0f0378dd-c362-43dc-915a-3882f662cc36
chrM|2201|2309|1|108|0	chrM	2201	2309	0	+	2201	2201	0,0,0	1	108	0	ENSG00000210082,ENST00000387347.2,RNR2	2	2	chrM:2202-2309	ae986d97-2dfb-4564-9157-464d96249e05,619ef9da-b275-4e8e-8b6c-cb0130ae77ba
chrM|9992|10127|1|135|0	chrM	9992	10127	0	-	9992	9992	0,0,0	1	135	0	ENSG00000210164,ENST00000387429.1,TRNG,ENSG00000198840,Q7GXZ5,ND3	2	2	chrM:9993-10127	de148bba-bb38-4051-9bc1-b63e13ca44d7,43d0cd28-d509-408f-b322-6b7a0d4b148e
chrM|8375|8440|1|65|0	chrM	8375	8440	0	-	8375	8375	0,0,0	1	65	0	ENSG00000228253,U5YV54,ATP8	2	2	chrM:8376-8440	3900ac4a-6693-4207-8b6b-5c8f9f989a37,1321d33f-bc29-4a2c-8da1-5e1c005b77d6
chr1|633965|634075|1|110|0	chr1	633965	634075	0	-	633965	633965	0,0,0	1	110	0	ENSG00000248527,ENST00000514057.1,MTATP6P1	2	2	chr1:633966-634075	2172dad7-ae35-4534-859a-b486477f99bf,918fe4aa-1c8f-4f18-b406-569236c32d8e
chr5|139283328|139283492|1|164|0	chr5	139283328	139283492	0	-	139283328	139283328	0,0,0	1	164	0	ENST00000505522.6	2	2	chr5:139283329-139283492	7c550d80-560c-4036-99e7-dfcf388d1706,ac21ce21-c38d-4f1e-9464-9bb6712bdd2e
chr8|127206111|127206163|1|52|0	chr8	127206111	127206163	0	.	127206111	127206111	0,0,0	1	52	0	ENST00000641218.2,ENST00000500112.2	2	2	chr8:127206112-127206163	63a52d73-7f17-460e-af62-c790de98a3c7,91eca45d-7748-4955-b00c-8ede6a54d866
chr12|106870759|106870913|1|154|0	chr12	106870759	106870913	0	-	106870759	106870759	0,0,0	1	154	0	ENST00000658571.1	2	2	chr12:106870760-106870913	e4aaba86-8577-4a4e-99bb-4c3406303930,f40e2176-aea8-411d-8628-703be6fd1735
chr1|3335522|3335656|1|134|0	chr1	3335522	3335656	0	-	3335522	3335522	0,0,0	1	134	0	G000199	2	2	chr1:3335523-3335656	1f0433e0-40a9-47a5-af9e-d682bfe1b475,ab53de9d-2784-4f7f-8b9e-bdc0a76531f0
chr2|238713610|238713680|1|70|0	chr2	238713610	238713680	0	.	238713610	238713610	0,0,0	1	70	0	G048783	2	2	chr2:238713611-238713680	6a6f8b9b-d8ce-4a3f-b202-d264b3bfd698,356cb4a2-b5ef-4d2f-9b32-6f60ebb97d67
chrX|45753907|45754045|1|138|0	chrX	45753907	45754045	0	-	45753907	45753907	0,0,0	1	138	0	MIR222HG	2	2	chrX:45753908-45754045	391525bd-2d84-421c-98ba-f14d3a39d647,26c525fd-e4de-4115-80be-b253cb35e39b
chr2|223756685|223756809|1|124|0	chr2	223756685	223756809	0	-	223756685	223756685	0,0,0	1	124	0	Q96PC3,AP1S3	2	2	chr2:223756686-223756809	aa572f01-717f-4764-9feb-b8b71f0cca20,f232c193-e88b-452c-8cf3-c467e641cd53
chrM|10542|10658|1|116|0	chrM	10542	10658	0	-	10542	10542	0,0,0	1	116	0	ENSG00000212907,Q7GXZ4,ND4L	4	2	chrM:10543-10658	059c864c-58e2-4891-a227-a741337a0772,a9f81cd8-56f9-4d59-abb6-38d55638a31c,b5e19717-2f16-4dde-adaf-73defa980e19,661ca086-ca73-4d10-aa68-8743b7dd168f
chr18|9258148|9258281|1|133|0	chr18	9258148	9258281	0	+	9258148	9258148	0,0,0	1	133	0	ENSG00000101745,Q6UB98,ANKRD12	3	3	chr18:9258149-9258281	aaa6d04f-90d3-4f57-8852-cfd7a2cc8602,7ca41d9c-ae26-4825-a2a6-bcafab4150e7,0d34ee2a-760c-4249-a568-f5d2e5810c07
chr6|17637509|17637685|1|176|0	chr6	17637509	17637685	0	-	17637509	17637509	0,0,0	1	176	0	ENSG00000124789,P49790,NUP153	3	3	chr6:17637510-17637685	0151d0d5-0881-4a62-8ff4-f20cdb3d526b,28958f79-95dc-4099-a88e-a2722a40b172,32a80854-224f-42f9-a3de-dee968215a72
chr19|15265567|15267544|2|76,129|0,1848	chr19	15265567	15267544	0	-	15265567	15265567	0,0,0	2	76,129	0,1848	ENSG00000141867,O60885,M0QZD9,M0QYW0,BRD4,ENST00000601071.1	3	3	chr19:15265568-15267544	a004a1b1-0f0c-4b2e-ae8e-8f093e110916,32a89607-38d1-4306-88ee-0784efb8ad1e,fcd8dd8e-e75f-4ed7-b8c4-b15229c918c8
chr1|150823310|150826607|2|35,65|0,3232	chr1	150823310	150826607	0	-	150823310	150823310	0,0,0	2	35,65	0,3232	ENSG00000143437,P27540,ARNT,A6NGV6	3	3	chr1:150823311-150826607	7f1daa92-566c-4363-ab64-9efb061bb5a7,e6a19a1e-6c6c-4f59-89b9-466f46655bf0,05ceb08a-131b-4cf8-9929-d47a5aff6880
chr2|214950938|214951054|1|116|0	chr2	214950938	214951054	0	+	214950938	214950938	0,0,0	1	116	0	ENSG00000144452,Q86UK0,ABCA12	3	3	chr2:214950939-214951054	5ee3944a-c140-4b4b-b8d7-4d4b893fbadb,3497add5-103d-4e77-9e8e-7a6e4ea32003,2810cca5-db2d-4c0d-b92e-45bdbfe6959d
chr10|128103907|128104077|1|170|0	chr10	128103907	128104077	0	+	128103907	128103907	0,0,0	1	170	0	ENSG00000148773,P46013,MKI67	3	3	chr10:128103908-128104077	bf432152-f6a8-473a-9e62-bd00cbb5c465,ed9ebbfe-59ce-490b-9801-af09fdeab959,15d45409-8ce5-479a-802d-34fb81a8f899
chr3|88055749|88055889|1|140|0	chr3	88055749	88055889	0	-	88055749	88055749	0,0,0	1	140	0	ENSG00000163320,Q9UFW8,C9JUJ0,CGGBP1	3	3	chr3:88055750-88055889	c58a7593-ec57-4672-b33f-ce86b35c0745,234824be-3c77-4d8a-a7cf-50aa826b4a49,d5d0ee48-dc67-4e5f-8b61-508d14d83bb4
chr4|84775064|84778556|2|74,54|0,3438	chr4	84775064	84778556	0	-	84775064	84775064	0,0,0	2	74,54	0,3438	ENSG00000163625,Q8IZQ1,WDFY3	3	3	chr4:84775065-84778556	830c1f00-9741-4d3f-83e9-7ced125dc647,016925cb-f772-491f-b298-d4953d14fa6e,748f5dc1-e133-4b3e-831a-8d2dc36bd11a
chr12|79591096|79591304|1|208|0	chr12	79591096	79591304	0	.	79591096	79591096	0,0,0	1	208	0	ENSG00000177425,Q96IZ0,PAWR	3	3	chr12:79591097-79591304	3405215c-6316-4b7b-aecc-3d079c870e75,aa9ef677-7cf1-4963-973e-30b5f8746d7b,afe3ba88-56c1-4dfd-a926-232c017e056b
chr12|93502886|93502970|1|84|0	chr12	93502886	93502970	0	-	93502886	93502886	0,0,0	1	84	0	ENSG00000198015,Q9Y6G3,MRPL42	3	3	chr12:93502887-93502970	922c0537-8d82-4218-8364-177f7302d9aa,95c4dbdd-097b-494e-9cd2-0052d1c70bbc,73ba52b8-4879-470a-80fc-f9544a60f705
chrM|14603|14723|1|120|0	chrM	14603	14723	0	+	14603	14603	0,0,0	1	120	0	ENSG00000198695,ENSG00000210194,U5Z977,ENST00000387459.1,TRNE,ND6	3	3	chrM:14604-14723	6c1aa62f-4c0a-4a03-9111-7243cbef9bf1,f353c633-40ee-4cbf-a860-396eeb7da9e0,e5b1a559-2f3d-43aa-aa66-7f8655fb5ae6
chrM|14184|14305|1|121|0	chrM	14184	14305	0	-	14184	14184	0,0,0	1	121	0	ENSG00000198695,U5Z977,ND6	3	3	chrM:14185-14305	1e582a07-da5b-48f0-af5b-fcba5238eef1,1d3576e5-a0a7-426b-b0fb-dd636700a673,eb6d83bb-0104-411d-bfeb-b1d7f9dd68e3
chrM|4878|5018|1|140|0	chrM	4878	5018	0	+	4878	4878	0,0,0	1	140	0	ENSG00000198763,Q7GXY9,ND2	3	3	chrM:4879-5018	4f0031f9-1b4d-43f5-8192-07acb2eb3361,1271bf35-2f73-4b48-b587-60b14a261312,37b6c321-8967-4641-95cd-86dadb010adc
chrM|13486|13583|1|97|0	chrM	13486	13583	0	-	13486	13486	0,0,0	1	97	0	ENSG00000198786,U5ZC31,ND5	3	3	chrM:13487-13583	2dfe4255-224b-48bf-b268-86d66d6569aa,8f576e18-57ab-4266-a4c6-57cbbbf3d37e,50f60271-716c-4424-ad04-5492d1553291
chrM|11549|11682|1|133|0	chrM	11549	11682	0	-	11549	11549	0,0,0	1	133	0	ENSG00000198886,P03905,ND4	3	3	chrM:11550-11682	a1ccff91-95c6-457d-955a-af5063b69b6d,f60e465f-8c97-41c6-9506-e93a3d25dd89,71d7d20a-719e-4e2b-85e5-59cebc7f2c33
chrM|9133|9236|1|103|0	chrM	9133	9236	0	+	9133	9133	0,0,0	1	103	0	ENSG00000198899,ENSG00000198938,Q0ZFE3,Q7GIM7,COX3,ATP6	3	3	chrM:9134-9236	60dec872-98e2-4546-ad94-867b785ad729,55035c98-dd94-4d21-ba0c-462a6dc5302a,7970da35-3784-4011-90b1-20ceb625fd28
chrX|154442401|154442648|2|27,129|0,118	chrX	154442401	154442648	0	+	154442401	154442401	0,0,0	2	27,129	0,118	ENSG00000203879,P31150,ENST00000491154.1,ENST00000468483.5,ENST00000465640.1,ENST00000460984.1,GDI1	3	3	chrX:154442402-154442648	4e54c9f9-625f-42c3-b831-0918d5d8fbec,494cc9c4-75ea-47fa-9af2-783dc08a7b0c,434ff597-a902-4bad-9b2c-e67e1e44f981
chrM|12334|12441|1|107|0	chrM	12334	12441	0	+	12334	12334	0,0,0	1	107	0	ENSG00000210191,ENSG00000198786,ENST00000387456.1,U5ZC31,ND5,TRNL2	3	3	chrM:12335-12441	6f976de4-6052-46e5-8375-bcebac143077,05fe9922-3b8a-4ea2-aaea-1528c026c747,0116fdb7-af5e-4738-9766-6c56fbd4e6e6
chrM|10515|10630|1|115|0	chrM	10515	10630	0	-	10515	10515	0,0,0	1	115	0	ENSG00000212907,Q7GXZ4,ND4L	3	3	chrM:10516-10630	3efd431c-6a04-484e-b364-22b20613b025,751541f8-02ec-4f03-8b1e-7fdb4a03411f,7db4bd7f-53de-483c-b4d0-0a218a70ef0a
chr1|633895|634048|1|153|0	chr1	633895	634048	0	-	633895	633895	0,0,0	1	153	0	ENSG00000248527,ENST00000514057.1,MTATP6P1	3	3	chr1:633896-634048	a2225925-6a96-423b-951c-70f53e10ffc7,a0a58b29-4b79-4ec2-bf94-3106f0ee076d,e8360d2a-7ea8-4a21-8755-80f2864d125b
chr11|69652730|69652838|1|108|0	chr11	69652730	69652838	0	+	69652730	69652730	0,0,0	1	108	0	ENSG00000110092,Q6FI00,CCND1	4	3	chr11:69652731-69652838	0838272a-17e9-4f57-b780-b1a52a6687ea,2f87b7a3-470a-4e3b-845b-6a0ab957b9f1,403a55cd-af26-4cce-b820-454177c99e7f,a526039f-f895-4fb0-bf04-1ebabda20e85
chr11|77661391|77661481|1|90|0	chr11	77661391	77661481	0	-	77661391	77661391	0,0,0	1	90	0	ENSG00000048649,Q96T23,RSF1	4	4	chr11:77661392-77661481	06d8da11-55c6-4620-a401-3505b900b71e,1da3088d-42ab-43cd-bb39-513991172cb0,e0b99f56-0c2f-4863-9962-4451d239a276,abe2a94b-7b9d-4057-b2f7-61f0fc6ba60b
chr7|152156333|152156423|1|90|0	chr7	152156333	152156423	0	+	152156333	152156333	0,0,0	1	90	0	ENSG00000055609,H7BY37,Q8NEZ4,H0YMU7,ENST00000473186.5,H7C2V8,KMT2C	4	4	chr7:152156334-152156423	657824ba-4ada-445e-91f3-281d5974c317,a04c4f60-f506-4509-98cf-c2b161e63ac7,00c510cf-98ff-4e74-a391-c287aa13011c,5c8064e2-9074-42b5-8d30-0e15c36e6e5a
chr22|37773872|37774012|1|140|0	chr22	37773872	37774012	0	-	37773872	37773872	0,0,0	1	140	0	ENSG00000100101,ENSG00000100106,Q9H2D6,H7BXW4,TRIOBP	4	4	chr22:37773873-37774012	b9cc6971-8090-48e6-8ab6-6772f75a6417,7e87a4cc-3ef2-49b2-b17b-177eb6543f10,335b8ccb-4b72-4f42-b4bb-08167a22b332,ff2a6b5c-4801-417d-84b5-195af7915cce
chr11|117167963|117168086|1|123|0	chr11	117167963	117168086	0	-	117167963	117167963	0,0,0	1	123	0	ENSG00000168092,V9HW44,J3KNE3,PAFAH1B2	4	4	chr11:117167964-117168086	7d904c82-bf54-4ea9-be08-651bdee7c41a,a794ddeb-66c0-4b6d-a989-259f5dfd9e7b,1f2a2ff3-89fa-4662-ba23-2bd4f97c4a4b,0fe83dd1-500f-4d87-a011-8f76e58db24d
chrM|14315|14393|1|78|0	chrM	14315	14393	0	-	14315	14315	0,0,0	1	78	0	ENSG00000198695,U5Z977,ND6	4	4	chrM:14316-14393	5447b2d5-c77d-4675-9d10-b016f94f4282,487620b9-efb6-47e8-9d7c-844a1e3cd987,21188e62-1b5b-4bcd-9813-f7bdfaddc6e8,0a548951-453b-4210-9e28-99e1188c0354
chrM|8015|8132|1|117|0	chrM	8015	8132	0	-	8015	8015	0,0,0	1	117	0	ENSG00000198712,U5Z487,COX2	4	4	chrM:8016-8132	a1e0d64c-97ad-40ed-b153-9c8fb4683ddc,353b9bec-d771-42a9-914e-6cd161c29283,d0352324-9d66-4173-b890-153a6d21f427,1a03a97e-786b-43c6-9dcf-029d2ef1c314
chrM|14751|14841|1|90|0	chrM	14751	14841	0	-	14751	14751	0,0,0	1	90	0	ENSG00000198727,Q0ZFD6,CYTB	4	4	chrM:14752-14841	d9f0bd70-56ae-451c-8168-ad25ab8d07a1,ea8860f7-186e-428e-a638-c5ce70d37083,2b447159-3acc-4e3f-be5d-4e8a04774a54,5d2b16b8-537b-49a1-82ed-99db95398f93
chrM|12401|12477|1|76|0	chrM	12401	12477	0	-	12401	12401	0,0,0	1	76	0	ENSG00000198786,U5ZC31,ND5	4	4	chrM:12402-12477	6b11efdf-312a-4c59-a713-6770dd522d93,282274c2-7bb1-4dd0-9b09-25da77081a4f,763a8517-4dc7-4f89-9437-46b467ec2fef,569f5036-8955-443f-898e-5913535b19c8
chrM|7112|7332|1|220|0	chrM	7112	7332	0	-	7112	7112	0,0,0	1	220	0	ENSG00000198804,U5YWV7,COX1	4	4	chrM:7113-7332	448f6cb5-a8ac-480f-9685-c7772ce02de4,a19f04e5-5523-440f-9871-16c80ae7d282,a2f3dee1-b084-4467-8965-dd4b29eba9e6,b0b8beee-35d9-4a8f-adc8-f211ddd36181
chrM|10064|10164|1|100|0	chrM	10064	10164	0	-	10064	10064	0,0,0	1	100	0	ENSG00000198840,Q7GXZ5,ND3	4	4	chrM:10065-10164	c9ff1df3-3590-4074-bff2-23151152ff53,2d468bd4-1c33-4c8f-aa7b-c4dfe2837a14,7274ee69-f8f5-45a2-8780-4d91038a45b4,5e857e56-dc3c-4423-8a43-f91b12fff0ec
chrM|13518|13617|1|99|0	chrM	13518	13617	0	-	13518	13518	0,0,0	1	99	0	ENSG00000198786,U5ZC31,ND5	6	4	chrM:13519-13617	39328eb7-e1d9-4a98-b951-84bb0e9025f5,ec386b7f-6f84-4f1c-a9bf-d193a05d511e,33bd9417-6ae8-4761-8be7-8ddb0c297da5,c8e8dd82-b8a7-41cb-a245-04ed801e0fc8,573ba18d-a304-4716-8370-0ef3908f0b66,a2810f2a-48c5-4762-9c1d-df3bf796bd9a
chrX|136873977|136874093|1|116|0	chrX	136873977	136874093	0	-	136873977	136873977	0,0,0	1	116	0	ENSG00000147274,ENST00000496459.2,H3BR27,P38159,H3BT71,H3BUY5,RBMX	5	5	chrX:136873978-136874093	e87b3e68-0957-4fc9-a95a-6dde38718e89,541593b6-2252-427a-a774-e2ca4d1d396b,a91d08b1-90cf-4c77-a3d6-054a34e5ac13,fcf4fa69-8bca-410e-9fce-35748b7946ea,73eac8d5-8eff-47f2-a64e-452e1b5e93c8
chrM|9053|9207|1|154|0	chrM	9053	9207	0	+	9053	9053	0,0,0	1	154	0	ENSG00000198899,ENSG00000198938,Q0ZFE3,Q7GIM7,COX3,ATP6	5	5	chrM:9054-9207	a5d66ab7-2849-467c-9041-8f15d4e2ee07,36f0b766-76d0-4bde-9e39-3e97e91bdbdf,15c910ef-89f3-47c9-b835-659bcbb1fdcf,efe1bb42-656d-47c2-8423-d4d302289499,526808b0-4ec0-45e7-84fa-4d3661ca39ae
chr1|629160|629225|1|65|0	chr1	629160	629225	0	-	629160	629160	0,0,0	1	65	0	ENSG00000225972,ENST00000416931.1,MTND1P23	5	5	chr1:629161-629225	5b52ffc6-3713-466d-895b-3ab715b2e5a9,e3291256-8301-4adb-bb7e-0188e9c0ab8a,fc2bbebc-d269-4df0-b3d3-9a293497206d,4a2ef622-e0f4-4e6e-8106-e7361d481234,f7eaa522-c323-4799-83b9-4455c2bbaa62
chr11|76463999|76464087|1|88|0	chr11	76463999	76464087	0	+	76463999	76463999	0,0,0	1	88	0	ENSG00000158636,ENST00000427574.6,E9PMC9,Q7Z589,EMSY	7	7	chr11:76464000-76464087	669ccc6f-6028-4a52-8251-736b894451a5,5f8856dc-4196-4794-be8e-96c01a0e7da2,7785b80f-e95d-468d-8d8e-54c18e54fde3,4416a872-76ef-4a93-9b4f-58e1e04d1a6b,5933565f-e674-4712-84c1-d3ef197d1e70,eadca246-c0c1-42c8-9979-f503fee23e72,2bff1bce-ddc9-41b1-bc4d-f2d342c1da0e
chr10|73576221|73576335|1|114|0	chr10	73576221	73576335	0	-	73576221	73576221	0,0,0	1	114	0	ENSG00000166348,ENST00000498143.5,X6RHN7,ENST00000498213.1,ENST00000474929.1,USP54	7	7	chr10:73576222-73576335	1ef45e58-8bd1-4058-8956-e824da149bc9,f9b5fddc-1f8f-4306-8a92-cb07161d55d7,808e48f3-fa35-4bd1-8ceb-7c4df4bad0b3,71dc837b-2756-490c-a111-ad5453d9ba8a,465f2452-40ca-40ff-9d57-3299d4e9aaee,b8d53e2d-8e13-4e11-a99c-09e769916bf5,7c541e06-c360-43f4-9e36-edf044670fba
